PLACENS,GEOID,NAMELSAD,CLASSFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,OBJECTID *,SHAPE *
02391006,3649748,Nelliston village,C1,A,2861243,234223,+42.9326792,-74.6076420,354,Polygon
02391007,3649781,Nelsonville village,C1,A,2677636,2794,+41.4294743,-73.9499137,355,Polygon
02391015,3649891,Newark village,C1,A,14035204,11970,+43.0420094,-77.0940237,356,Polygon
02391016,3649902,Newark Valley village,C1,A,2558385,0,+42.2229054,-76.1867762,357,Polygon
02391008,3649946,New Berlin village,C1,A,2759671,0,+42.6239828,-75.3353170,358,Polygon
00979258,3650034,Newburgh city,C5,A,9857747,2533739,+41.5032494,-74.0196402,359,Polygon
02391009,3650298,New Hartford village,C1,A,1603840,0,+43.0710381,-75.2886180,360,Polygon
02391010,3650353,New Hempstead village,C1,A,7360080,25830,+41.1457088,-74.0510343,361,Polygon
02391011,3650397,New Hyde Park village,C1,A,2195675,0,+40.7322731,-73.6858636,362,Polygon
02391012,3650551,New Paltz village,C1,A,4562907,96614,+41.7499420,-74.0797377,363,Polygon
02391017,3650573,Newport village,C1,A,1362006,166127,+43.1868450,-75.0160228,364,Polygon
00979271,3650617,New Rochelle city,C5,A,26640882,7404359,+40.9232433,-73.7793439,365,Polygon
02391013,3650705,New Square village,C1,A,949660,0,+41.1410222,-74.0293617,366,Polygon
02395220,3651000,New York city,C1,A,778178241,445408678,+40.6627117,-73.9386769,367,Polygon
02391014,3651011,New York Mills village,C1,A,3056761,0,+43.1007037,-75.2931141,368,Polygon
00979276,3651055,Niagara Falls city,C5,A,36482615,7100859,+43.0928407,-79.0147434,369,Polygon
02391018,3651110,Nichols village,C1,A,1342746,0,+42.0200171,-76.3704018,370,Polygon
02391019,3651286,Nissequogue village,C1,A,9862224,574404,+40.9027162,-73.1862461,371,Polygon
02391021,3651792,North Collins village,C1,A,2074707,0,+42.5948206,-78.9369411,372,Polygon
02391022,3652188,North Haven village,C1,A,6872636,0,+41.0232629,-72.3139972,373,Polygon
02391023,3653022,North Hills village,C1,A,7140468,0,+40.7764496,-73.6778466,374,Polygon
02391024,3653055,North Hornell village,C1,A,1270882,0,+42.3454437,-77.6605037,375,Polygon
02391026,3653396,Northport village,C1,A,5964884,588099,+40.9040451,-73.3449678,376,Polygon
02391025,3653660,North Syracuse village,C1,A,5145191,0,+43.1338666,-76.1303879,377,Polygon
00979293,3653682,North Tonawanda city,C5,A,26140446,2076404,+43.0491570,-78.8712242,378,Polygon
02391027,3653770,Northville village,C1,A,2752057,892408,+43.2196865,-74.1583230,379,Polygon
00979296,3653979,Norwich city,C5,A,5502165,0,+42.5333218,-75.5227584,380,Polygon
02391028,3654012,Norwood village,C1,A,5425657,438684,+44.7482996,-74.9966740,381,Polygon
02391029,3654078,Nunda village,C1,A,2528631,0,+42.5799904,-77.9379069,382,Polygon
02391030,3654100,Nyack village,C1,A,1994037,2164405,+41.0929498,-73.9152358,383,Polygon
02391031,3654155,Oakfield village,C1,A,1710712,0,+43.0649583,-78.2710184,384,Polygon
02391032,3654430,Ocean Beach village,C1,A,366033,0,+40.6462856,-73.1565226,385,Polygon
02391033,3654452,Odessa village,C1,A,2943718,0,+42.3349985,-76.7881139,386,Polygon
00979301,3654485,Ogdensburg city,C5,A,12834996,8238498,+44.7091795,-75.4632712,387,Polygon
02391034,3654562,Old Brookville village,C1,A,10314267,3279,+40.8364697,-73.6051084,388,Polygon
02391035,3654617,Old Field village,C1,A,5360350,313330,+40.9666734,-73.1310444,389,Polygon
02391036,3654705,Old Westbury village,C1,A,22202460,0,+40.7865426,-73.5975077,390,Polygon
00979305,3654716,Olean city,C5,A,15279909,690403,+42.0839431,-78.4351188,391,Polygon
00979308,3654837,Oneida city,C5,A,57115754,211866,+43.0704480,-75.6735612,392,Polygon
02391037,3654848,Oneida Castle village,C1,A,1310490,0,+43.0812031,-75.6330973,393,Polygon
00979309,3654881,Oneonta city,C5,A,11295615,9943,+42.4548184,-75.0668843,394,Polygon
02391038,3655266,Orchard Park village,C1,A,3479089,105972,+42.7621982,-78.7413665,395,Polygon
02391039,3655365,Oriskany village,C1,A,2050249,0,+43.1567651,-75.3335175,396,Polygon
02391040,3655376,Oriskany Falls village,C1,A,1311143,0,+42.9379897,-75.4636098,397,Polygon
02391041,3655530,Ossining village,C1,A,8203208,8511138,+41.1534896,-73.8705865,398,Polygon
00979325,3655574,Oswego city,C5,A,19720149,9359182,+43.4580517,-76.5036887,399,Polygon
02391042,3655618,Otego village,C1,A,3002942,0,+42.3927987,-75.1800706,400,Polygon
02391043,3655673,Otisville village,C1,A,1979197,0,+41.4714384,-74.5397089,401,Polygon
02391044,3655816,Ovid village,C1,A,1029664,0,+42.6756478,-76.8228967,402,Polygon
02391045,3655882,Owego village,C1,A,6599467,599080,+42.1045599,-76.2622269,403,Polygon
02391046,3655948,Oxford village,C1,A,4588164,0,+42.4411606,-75.5958784,404,Polygon
02391047,3656011,Oyster Bay Cove village,C1,A,10837156,179757,+40.8604959,-73.5053788,405,Polygon
02391048,3656088,Painted Post village,C1,A,3300076,157363,+42.1637619,-77.0923838,406,Polygon
02391049,3656110,Palatine Bridge village,C1,A,2386539,186679,+42.9157542,-74.5775430,407,Polygon
02391050,3656187,Palmyra village,C1,A,3488424,0,+43.0608641,-77.2297192,408,Polygon
02391051,3656231,Panama village,C1,A,5720365,15489,+42.0685714,-79.4871888,409,Polygon
02391052,3656341,Parish village,C1,A,4076822,0,+43.4058024,-76.1263699,410,Polygon
02391053,3656660,Patchogue village,C1,A,5854107,673507,+40.7637098,-73.0197730,411,Polygon
02391054,3656814,Pawling village,C1,A,5061125,1459,+41.5636087,-73.5993385,412,Polygon
00979348,3656979,Peekskill city,C5,A,11251161,3177119,+41.2873963,-73.9235971,413,Polygon
02391055,3657001,Pelham village,C1,A,2129386,5908,+40.9110803,-73.8077044,414,Polygon
02391056,3657023,Pelham Manor village,C1,A,3503454,113499,+40.8930678,-73.8059277,415,Polygon
02391057,3657177,Penn Yan village,C1,A,6216496,145419,+42.6607144,-77.0530713,416,Polygon
02391058,3657243,Perry village,C1,A,6053859,288889,+42.7172212,-78.0074061,417,Polygon
02391060,3657518,Phelps village,C1,A,2996200,0,+42.9580576,-77.0621205,418,Polygon
02391061,3657551,Philadelphia village,C1,A,2480631,0,+44.1539885,-75.7097899,419,Polygon
02391062,3657639,Philmont village,C1,A,3148191,100310,+42.2490040,-73.6469017,420,Polygon
02391063,3657661,Phoenix village,C1,A,3031723,308987,+43.2308971,-76.2958046,421,Polygon
02391064,3657749,Piermont village,C1,A,1742277,1151103,+41.0418510,-73.9108308,422,Polygon
02391066,3658354,Pittsford village,C1,A,1823502,52257,+43.0904921,-77.5165703,423,Polygon
02391067,3658475,Plandome village,C1,A,1275361,23525,+40.8065791,-73.7016304,424,Polygon
02391068,3658486,Plandome Heights village,C1,A,468132,18117,+40.8020725,-73.7049008,425,Polygon
02391069,3658497,Plandome Manor village,C1,A,1403012,238781,+40.8129088,-73.6986987,426,Polygon
00979376,3658574,Plattsburgh city,C5,A,13049718,4028894,+44.6955627,-73.4564144,427,Polygon
02391070,3658728,Pleasantville village,C1,A,4798715,6261,+41.1340059,-73.7841501,428,Polygon
02391071,3658937,Poland village,C1,A,1406163,16389,+43.2256629,-75.0626984,429,Polygon
02391072,3658992,Pomona village,C1,A,6212234,0,+41.1891528,-74.0542491,430,Polygon
02391073,3659157,Poquott village,C1,A,1135591,381326,+40.9530438,-73.0908771,431,Polygon
02391074,3659212,Port Byron village,C1,A,2361801,71411,+43.0370936,-76.6253040,432,Polygon
02391075,3659223,Port Chester village,C1,A,6029919,185190,+41.0047007,-73.6671746,433,Polygon
02391076,3659245,Port Dickinson village,C1,A,1622975,190800,+42.1356413,-75.8944105,434,Polygon
02391078,3659355,Port Jefferson village,C1,A,7933856,65846,+40.9421766,-73.0527991,435,Polygon
00979387,3659388,Port Jervis city,C5,A,6552210,444541,+41.3780210,-74.6908016,436,Polygon
02391079,3659454,Port Leyden village,C1,A,1598166,105049,+43.5853999,-75.3414120,437,Polygon
02391081,3659498,Portville village,C1,A,2077309,0,+42.0367059,-78.3372563,438,Polygon
02391080,3659531,Port Washington North village,C1,A,1239548,47188,+40.8430465,-73.7000580,439,Polygon
02391082,3659564,Potsdam village,C1,A,12736472,1281490,+44.6708309,-74.9834628,440,Polygon
